#EX	    GS	    GSErr	1561	1561Err	854	    854Err
12.43	1531.77	994.87	0.00	0.00	0.00	0.00
10.88	671.64	267.58	0.00	0.00	0.00	0.00
9.65	1044.65	232.68	0.00	0.00	0.00	0.00
9.27	406.66	256.26	763.58	245.83	0.00	0.00
8.79	1104.71	212.98	0.00	0.00	407.82	106.24
8.54	0.00	0.00	246.18	59.18	0.00	0.00
8.18	1600.99	225.94	0.00	0.00	397.16	139.93
7.76	1119.44	245.88	2945.09	663.49	244.07	38.60
7.37	4101.66	438.27	3809.58	193.04	1032.25	260.66
7.18	5486.24	508.34	4661.69	91.98	188.85	25.12
6.88	9500.74	571.01	2174.89	53.21	1069.10	369.65
6.76	174.80	520.27	668.61	206.29	0.00	0.00
6.58	3236.34	474.70	502.69	140.18	0.00	0.00
6.38	802.50	349.09	430.23	93.57	0.00	0.00
6.23	1333.68	384.48	484.08	121.63	0.00	0.00
6.09	1262.47	412.05	326.25	79.28	0.00	0.00
5.99	1702.92	652.39	372.49	81.42	0.00	0.00
5.89	4607.78	576.58	1337.44	387.53	0.00	0.00
5.60	3610.09	261.01	0.00	0.00	206.47	26.93
5.11	1981.15	475.15	0.00	0.00	191.22	54.67
5.04	1547.35	878.71	0.00	0.00	223.78	58.05
4.95	2386.20	475.16	0.00	0.00	0.00	0.00
4.84	3593.50	357.74	0.00	0.00	0.00	0.00
4.70	3626.34	264.85	0.00	0.00	0.00	0.00
4.58	1006.12	187.38	0.00	0.00	0.00	0.00
4.48	1037.10	186.06	0.00	0.00	0.00	0.00
4.31	876.56	153.38	0.00	0.00	0.00	0.00
4.23	617.11	134.60	0.00	0.00	0.00	0.00
4.19	1211.00	178.60	0.00	0.00	0.00	0.00
4.10	1552.89	124.77	0.00	0.00	0.00	0.00
4.06	1128.91	152.93	0.00	0.00	0.00	0.00
4.03	1251.02	158.03	0.00	0.00	0.00	0.00
3.98	923.47	123.27	0.00	0.00	0.00	0.00
3.94	1077.88	189.51	0.00	0.00	0.00	0.00
3.91	543.19	146.77	0.00	0.00	0.00	0.00
3.86	978.93	115.69	0.00	0.00	0.00	0.00
3.82	1155.75	150.17	0.00	0.00	0.00	0.00
